CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
8701,'BRAND','Alexis Bittar',2
8701,'BRAND','AQUA',3
8701,'BRAND','PANDORA',4
8701,'BRAND','Michael Kors',5
8701,'BRAND','Nadri',6
8701,'BRAND','MARC BY MARC JACOBS',7
8701,'BRAND','Chan Luu',8
8701,'BRAND','Links of London',9
8701,'BRAND','kate spade new york',10
3628,'BRAND','Alex and Ani',1
3628,'BRAND','Roni Blanshay',2
3628,'BRAND','PANDORA',3
3628,'BRAND','Michael Kors',4
3628,'BRAND','Alexis Bittar',5
3628,'BRAND','kate spade new york',6
3628,'BRAND','Ralph Lauren',7
3628,'BRAND','AQUA',8
3628,'BRAND','MARC BY MARC JACOBS',9
3628,'BRAND','Nadri',10
3629,'BRAND','Alex and Ani',1
3629,'BRAND','Michael Kors',2
3629,'BRAND','Alexis Bittar',3
3629,'BRAND','kate spade new york',4
3629,'BRAND','Ralph Lauren',5
3629,'BRAND','Carolee',6
3629,'BRAND','House of Harlow 1960',7
3629,'BRAND','AQUA',8
3629,'BRAND','MARC BY MARC JACOBS',9
3629,'BRAND','Dogeared',10
3630,'BRAND','Alexis Bittar',1
3630,'BRAND','AQUA',2
3630,'BRAND','Alex and Ani',3
3630,'BRAND','Crislu',4
3630,'BRAND','Dogeared',5
3630,'BRAND','House of Harlow 1960',6
3630,'BRAND','kate spade new york',7
3630,'BRAND','MARC BY MARC JACOBS',8
3630,'BRAND','Michael Kors',9
3630,'BRAND','PANDORA',10
20033,'BRAND','Michael Kors',1
20033,'BRAND','kate spade new york',2
20033,'BRAND','Alex and Ani',3
20033,'BRAND','Alexis Bittar',4
20033,'BRAND','Dogeared',5
20033,'BRAND','Ralph Lauren',6
20033,'BRAND','House of Harlow 1960',7
20033,'BRAND','MARC BY MARC JACOBS',8
20033,'BRAND','PANDORA',9
20033,'BRAND','Carolee',10
20532,'BRAND','MICHELE',1
20532,'BRAND','Michael Kors',2
20532,'BRAND','Burberry',3
20532,'BRAND','MARC BY MARC JACOBS',4
20532,'BRAND','kate spade new york',5
20532,'BRAND','Nixon',6
20532,'BRAND','G-Shock',7
20532,'BRAND','Emporio Armani',8
20532,'BRAND','Shinola',9
20532,'BRAND','Victorinox Swiss Army',10
21311,'BRAND','Burberry',1
21311,'BRAND','C by Bloomingdale's',2
21311,'BRAND','AQUA',3
21311,'BRAND','DIANE von FURSTENBERG',4
21311,'BRAND','Tory Burch',5
21311,'BRAND','MARC BY MARC JACOBS',6
21311,'BRAND','kate spade new york',7
21311,'BRAND','Salvatore Ferragamo',8
21311,'BRAND','Echo',9
21311,'BRAND','Ralph Lauren',10
20034,'BRAND','Burberry',1
20034,'BRAND','C by Bloomingdale's',2
20034,'BRAND','AQUA',3
20034,'BRAND','DIANE von FURSTENBERG',4
20034,'BRAND','Tory Burch',5
20034,'BRAND','MARC BY MARC JACOBS',6
20034,'BRAND','kate spade new york',7
20034,'BRAND','Salvatore Ferragamo',8
20034,'BRAND','Echo',9
20034,'BRAND','Ralph Lauren',10
4520,'BRAND','Ray-Ban',1
4520,'BRAND','Tom Ford',2
4520,'BRAND','Gucci',3
4520,'BRAND','Dior',4
4520,'BRAND','Prada',5
4520,'BRAND','MARC BY MARC JACOBS',6
4520,'BRAND','kate spade new york',7
4520,'BRAND','Tory Burch',8
4520,'BRAND','Jimmy Choo',9
4520,'BRAND','Michael Kors',10
1000066,'BRAND','Michael Kors',1
1000066,'BRAND','MARC BY MARC JACOBS',2
1000066,'BRAND','Burberry',3
1000066,'BRAND','Shinola',4
1000066,'BRAND','G-Shock',5
1000066,'BRAND','Emporio Armani',6
1000066,'BRAND','Armani Exchange',7
1000066,'BRAND','Nixon',8
1000066,'BRAND','Victorinox Swiss Army',9
1000066,'BRAND','Jack Spade',10
5070,'BRAND','Burberry',1
5070,'BRAND','COACH',2
5070,'BRAND','kate spade new york',3
5070,'BRAND','Longchamp',4
5070,'BRAND','MARC BY MARC JACOBS',5
5070,'BRAND','MCM',6
5070,'BRAND','MICHAEL Michael Kors',7
5070,'BRAND','Rebecca Minkoff',8
5070,'BRAND','Salvatore Ferragamo',9
5070,'BRAND','Tory Burch',10
16958,'BRAND','Burberry',1
16958,'BRAND','COACH',2
16958,'BRAND','kate spade new york',3
16958,'BRAND','Longchamp',4
16958,'BRAND','MARC BY MARC JACOBS',5
16958,'BRAND','MCM',6
16958,'BRAND','MICHAEL Michael Kors',7
16958,'BRAND','Rebecca Minkoff',8
16958,'BRAND','Salvatore Ferragamo',9
16958,'BRAND','Tory Burch',10
17309,'BRAND','Badgley Mischka',1
17309,'BRAND','COACH',2
17309,'BRAND','DIANE von FURSTENBERG',3
17309,'BRAND','kate spade new york',4
17309,'BRAND','KOTUR',5
17309,'BRAND','MARC BY MARC JACOBS',6
17309,'BRAND','MICHAEL Michael Kors',7
17309,'BRAND','Milly',8
17309,'BRAND','Rebecca Minkoff',9
17309,'BRAND','Sondra Roberts',10
17310,'BRAND','Burberry',1
17310,'BRAND','COACH',2
17310,'BRAND','Cole Haan',3
17310,'BRAND','kate spade new york',4
17310,'BRAND','Longchamp',5
17310,'BRAND','MARC BY MARC JACOBS',6
17310,'BRAND','MICHAEL Michael Kors',7
17310,'BRAND','Rebecca Minkoff',8
17310,'BRAND','Salvatore Ferragamo',9
17310,'BRAND','Tory Burch',10
17311,'BRAND','Burberry',1
17311,'BRAND','COACH',2
17311,'BRAND','kate spade new york',3
17311,'BRAND','Liebeskind',4
17311,'BRAND','MARC BY MARC JACOBS',5
17311,'BRAND','MICHAEL Michael Kors',6
17311,'BRAND','Rebecca Minkoff',7
17311,'BRAND','Salvatore Ferragamo',8
